Item,Function,Quantity,Description,PartNumber,Vendor
1,MODULAR_DEVICE_TEENSY,2,16 Positions Header Unshrouded Breakaway Connector,S1011E-16-ND,digikey
2,MODULAR_DEVICE_TEENSY,1,USB 2.0 Cable A Male to Micro B Male 1.00m Shielded,AE10419-ND,digikey
3,POWER,1,AC/DC DESKTOP ADAPTER 24V 90W,62-1187-ND,digikey
4,POWER,1,CORD 3COND NEMA PLUG 320-C5,993-1037-ND,digikey
5,CONNECTORS,1,14 Positions Header Unshrouded Breakaway Connector 0.100in 2 row SMD,A106625CT-ND,digikey
6,CONNECTORS,3,14 Positions Header Unshrouded Breakaway Connector 0.100in 1 row Through,S1011EC-14-ND,digikey
